x,y,名稱,位置資訊
120.33071,23.112763,山榮工程有限公司善化廠,臺南市善化區嘉南里茄拔358-8號
120.239746,23.099367,尚億企業有限公司安定廠,臺南市安定區港口里港口422號
120.185605,23.084133,金全重機行,臺南市西港區新復里溪埔寮28之3號
120.268368,23.057327,萬蓮科技股份有限公司,臺南市永康區和平路258巷89號
120.195845,23.149605,安秝生技有限公司,臺南市西港區金砂里下宅子5之10號1樓、5之11號
120.181578,23.052692,瑔昇科技有限公司,臺南市安南區溪心里智安四街66號
120.223265,23.10581,品賦實業股份有限公司(安定廠),臺南市安定區管寮里管寮２４－１４號
120.354955,22.909441,精法精密工業股份有限公司工廠,臺南市關廟區南雄南路469號及477號
120.256658,23.00667,竣嶧實業有限公司永康廠,臺南市永康區崑山里大灣路942巷371弄16號
120.347585,23.343989,見成機電有限公司後壁二廠,臺南市後壁區頂安里頂寮288之1號
120.355579,23.344639,阿秋天車行後壁廠,臺南市後壁區頂安里頂寮311號
120.193195,23.248283,寶興木業有限公司學甲廠,臺南市學甲區宅港里德安寮3之15號
120.344241,22.967714,寬仕工業股份有限公司總廠,臺南市關廟區北花里中正路376巷5、7、12號
120.311139,23.018946,東達企業社二廠,臺南市新化區山?里頂山腳54之39號
120.286268,23.052641,永利木材行工廠,臺南市新化區北勢里北勢113之15號
120.231475,23.097684,永政昇實業有限公司安定廠,臺南市安定區港口里港口357之16號
120.20713,23.04748,中元企業社北安廠,臺南市安南區北安路3段295巷60弄7號
120.22797,23.297554,尚源企業股份有限公司二廠,臺南市鹽水區孫厝里孫厝寮1之16號
120.248108,23.297522,尚源企業股份有限公司一廠,臺南市鹽水區孫厝里孫厝1之9號
120.199355,23.083736,生達企業股份有限公司新吉廠,臺南市安定區新吉里新吉56之61號
120.2539,23.052674,長生興生物科技股份有限公司永康廠,臺南市永康區三民里三民街42巷13號
120.284767,23.027111,上毅企業社,臺南市新化區崙頂里崙子頂287之86號
120.248693,23.022091,東揚紙器企業股份有限公司永康廠,臺南市永康區東橋里中山南路473之1號
120.213416,23.090363,及樺實業股份有限公司安定廠,臺南市安定區新吉里新吉7之9號
120.274921,23.298151,穀福城貿易有限公司,臺南市新營區太北里太子宮44之100號1樓
120.238688,23.204758,笙榮紙業股份有限公司麻豆廠,臺南市麻豆區北勢里北勢寮10之38號
120.162831,23.129457,仙發實業有限公司一廠,臺南市佳里區龍安里塭子內2之50號
120.243905,23.110893,毅泰企業有限公司安定廠,臺南市安定區港尾里下洲子11之3號
120.271784,23.019625,世林機械有限公司,臺南市永康區西勢里富強路1段279巷101號
120.209706,23.090904,玉芳香業有限公司安定廠,臺南市安定區海寮里海寮5之9號
120.292347,23.093581,昱盛木箱有限公司,臺南市新市區三舍里191之34號
120.194986,23.153095,高宏國際實業有限公司工廠,臺南市佳里區鎮山里鎮山94之8號
120.20592,23.095064,旭貿傢俱企業安定廠,臺南市安定區海寮里海寮5之23號
120.345035,22.919592,鋼億螺絲企業社,臺南市關廟區布袋里長文街130巷25號
120.279113,23.004866,晶典企業有限公司歸仁廠,臺南市歸仁區大廟里保大路三段366巷22弄39號
120.292383,23.0268,台南電子股份有限公司新化一廠,臺南市新化區全興里竹子腳158之5號
120.294805,23.026585,台南電子股份有限公司新化二廠,臺南市新化區全興里竹子腳209之1號
120.331675,23.081264,日祥實業工廠新市廠,臺南市新市區潭頂里潭頂100之20號
120.213795,23.060797,川宇實業有限公司,臺南市安南區州南里北安路4段169之6號
120.269341,23.027042,加拓鋁業有限公司,臺南市永康區龍潭里中山北路344巷20之1號
120.323355,23.22012,華成鋼製傢俱有限公司,臺南市官田區二鎮里二鎮56之25號
120.271932,22.973635,勝億石材行歸仁廠,臺南市歸仁區七甲里大德路1220號
120.271403,23.001284,朋馳光學工業股份有限公司,臺南市永康區東灣里民族路77巷56號
120.313395,23.089897,宏原鋼鐵有限公司一廠,臺南市新市區大社里大社580號
120.184169,23.092689,全勝實業社西港廠,臺南市西港區新復里溪埔寮1之46號
120.132307,23.287891,保證責任台南市養殖漁產運銷合作社,臺南市北門區保吉里364之2號
120.252447,23.230993,川陵實業有限公司三廠,臺南市下營區大埤里大埤寮18之35號
120.196225,23.080438,台江行家具有限公司,臺南市安定區新吉里公親寮1之4號
120.30724,23.026276,瓜瓜園企業股份有限公司新化二廠,臺南市新化區知義里中正路127巷25之12號
120.218089,23.12912,木祥企業有限公司一廠,臺南市西港區港東里八份9之1號
120.193351,23.080467,義欽交通器材股份有限公司台南廠,臺南市安南區佃東里公學路1段124巷281號
120.242071,22.970251,鑫岱實業股份有限公司仁德廠,臺南市仁德區仁德里文南街39號
120.29655,23.060682,永振水泥加工廠二廠,臺南市新市區永就里中華路123號
120.234694,23.204585,宏徉工業社麻豆廠,臺南市麻豆區北勢里北勢寮10 之45號
120.202436,23.125668,期美科技股份有限公司西港廠,臺南市西港區慶安里中山路415號
120.13543,23.075292,晟普電子股份有限公司安南廠,臺南市安南區學東里安明路4段1146號
120.221008,23.07598,多禹有限公司安定廠,臺南市安定區六嘉里六塊寮81之8號
120.217681,23.089969,東山橡膠廠安定廠,臺南市安定區新吉里新吉19之6號
120.308265,23.094417,淯麒交通器材股份有限公司二廠,臺南市新市區大營里大營331號
120.306099,23.153282,東盟冷凍食品有限公司,臺南市善化區田寮里六分寮191之12、191之15號
120.310391,23.017996,鴻達企業社新化廠,臺南市新化區山?里頂山?54之32號及54之35號
120.323996,22.939365,昱森企業有限公司歸仁廠,臺南市歸仁區沙崙里沙崙522號
120.195852,23.056321,村大工藝社安南廠,臺南市安南區本原街一段262巷59之1號
120.393753,23.30225,嘉瑭商貿有限公司東山廠,臺南市東山區東中里北馬27號
120.134224,23.220368,豪士纖維有限公司一廠,臺南市將軍區將富里將榮112之70號
120.33416,22.949034,達陣商行關廟廠,臺南市關廟區五甲里南雄路1段720巷36號
120.205799,23.095462,銘泰企業行,臺南市安定區海寮里海寮5之27號
120.256581,23.008899,崇耀實業社(西灣廠),臺南市永康區西灣里大灣路942巷449弄56號
120.157392,23.21793,驊麗科技股份有限公司二廠,臺南市將軍區嘉昌里北嘉23之3號B棟
120.210955,23.135749,銪昇國際開發有限公司西港廠,臺南市西港區營西里後營2之26號
120.1737,23.067194,韶亮企業有限公司安南廠,臺南市安南區佃西里公學路4段126巷104弄8號
120.290873,22.983423,億成塑膠模具實業社,臺南市歸仁區七甲里七甲五街68號
120.345448,22.898962,仁德螺絲廠股份有限公司關廟廠,臺南市關廟區龜洞里南雄南路838號
120.312628,23.266501,尚奇企業有限公司二廠,臺南市柳營區士林里柳營路1段369號
120.278775,23.142911,三進粉業股份有限公司二廠,臺南市善化區什乃里什乃93號A、B棟
120.248879,23.232591,營億實業社工廠,臺南市下營區大埤里大埤寮49之8號
120.350262,23.199103,普廣興業社官田廠,臺南市官田區官田里中?13之1號
120.242481,23.299548,仁豊行有限公司鹽水廠,臺南市鹽水區後宅里後寮72之35號
120.358323,23.312118,慶高能機械有限公司食品一廠,臺南市東山區聖賢里北勢寮91之5號
120.251144,22.977125,詠勗股份有限公司工廠,臺南市仁德區一甲里忠義路431號
120.279337,23.265511,茂富機械有限公司新營廠,臺南市新營區鐵線里鐵線橋34之8號、34之9號
120.332609,22.950682,振安工業社工廠,臺南市關廟區五甲里3鄰旺萊路12巷21號
120.279381,22.992194,明珊科技有限公司一廠,臺南市歸仁區大廟里和順路2段163號
120.219688,23.075766,五佶實業社安定廠,臺南市安定區六嘉里六塊寮159之2號
120.219479,23.091277,恆達利有限公司安定廠,臺南市安定區港口里港口333之21號
120.219483,23.090537,協青螺絲有限公司,臺南市安定區港南里港口1之72號
120.232033,23.081551,璟元光電有限公司,臺南市安定區大同里牛肉寮65之29號
120.225949,23.075878,陳阿明企業有限公司安定廠,臺南市安定區六嘉里六塊寮97之25號
120.170509,23.108294,正昇實業社七股廠,臺南市七股區竹港里竹港74之18號
120.209591,23.080183,竣豐建材實業,臺南市安定區中沙里中崙74之1號
120.207943,23.081582,國統工業社,臺南市安定區新吉里新吉58之15號
120.220338,23.017477,葡吉國際有限公司一廠,臺南市北區小康里大武街533之1號
120.189136,23.051421,日成實業有限公司安南廠,臺南市安南區溪心里安吉路1段625號
120.286357,22.996912,大詠實業股份有限公司歸仁一廠,臺南市歸仁區西埔里保大路二段169號
120.290265,23.002102,東威實業社,臺南市歸仁區西埔里西埔一街300巷78號
120.359184,23.254135,美貝利科技有限公司,臺南市柳營區神農里果毅後395之11號
120.235761,23.168645,一皇電機股份有限公司工廠,臺南市麻豆區安正里前班36號
120.292592,23.012563,歲紘興業有限公司二廠,臺南市歸仁區西埔里西埔一街660巷200號
120.2203,23.087535,裕芳珍食品行,臺南市安定區大同里大同115之1號
120.236883,23.102284,大芳金屬製品有限公司二廠,臺南市安定區港尾里港子尾37之26號
120.325885,23.083075,亮泉工業有限公司潭頂廠,臺南市新市區潭頂里潭頂323之100號
120.159325,23.162586,志帛股份有限公司工廠,臺南市佳里區安西里文化西路236號
120.287979,23.001733,凱莉有限公司,臺南市歸仁區西埔里西埔一街175號
120.289951,23.026102,景皓企業有限公司新化廠,臺南市新化區全興里竹子腳163之20號
120.25247,23.052488,南美實業有限公司工廠,臺南市永康區三民里三民街42巷85號
120.198262,23.055783,三會精密工業有限公司,臺南市安南區原佃里本原街1段250巷101號
120.307502,23.022899,嘉濠企業股份有限公司新化廠,臺南市新化區全興里竹子腳258之2號
120.269453,22.998386,尚展化工有限公司本廠,臺南市永康區東灣里大灣東路330巷98號
120.363365,23.315974,昇峰鐵工廠,臺南市東山區聖賢里頂窩1號之9
120.23106,23.079036,廣億實業社安定廠,臺南市安定區大同里牛肉寮65之25號
120.188875,22.950036,正統意麵坊工廠,臺南市南區喜東里明興路321巷16之2號
120.27916,22.975325,萬環機械股份有限公司一廠,臺南市歸仁區七甲里南丁路73巷17號
120.232301,23.051472,高碳特殊鋼鐵股份有限公司長和廠,臺南市安南區東和里長和路1段217巷179弄9之2號
120.279219,22.99537,永富實業社,臺南市歸仁區大廟里大廟二街93巷15號
120.326093,23.082159,鋒美有限公司,臺南市新市區潭頂里潭頂323之98號
120.23151,22.973115,友嘉紙器有限公司,臺南市東區崇善里崇善七街66號
120.182472,22.94061,俞興服裝機械有限公司一廠,臺南市南區喜東里明興路619巷6號
120.26437,22.998038,均亮有限公司南興廠,臺南市永康區南灣里南興路48巷13號
120.229692,23.075767,威仁實業社,臺南市安定區大同里牛肉寮88號
120.214653,23.077224,浩誠金屬股份有限公司,臺南市安定區中沙里中崙1之15號
120.307985,23.097532,鴻新機械有限公司,臺南市新市區大營里326之26號
120.290355,23.025912,超茂國際有限公司,臺南市新化區全興里竹子腳165號
120.326297,23.078233,朝陽塑膠實業社,臺南市新市區潭頂里潭頂204之5號
120.253893,23.032771,恩澤企業社永康廠,臺南市永康區埔園里四維街58巷27號
120.2773,22.975587,吉盈織造有限公司歸仁廠,臺南市歸仁區七甲里11鄰南丁路73巷80號
120.230093,23.077144,承達實業社,臺南市安定區大同里牛肉寮65之24號
120.293404,23.156072,來金行,臺南市善化區六分里溪底寮20之2號
120.253664,23.013905,集舜興業有限公司永康廠,臺南市永康區網寮里大灣路942巷641弄102號
120.273922,22.919602,遠哲機電企業社武東二廠,臺南市歸仁區武東里中正南路2段157號
120.2646,22.940234,新富企業社二廠,臺南市仁德區上崙里德崙路539巷63號
120.300022,23.32714,泓成貿易有限公司,臺南市新營區護鎮里建國路313巷29號
120.277461,22.992384,燦宏企業社歸仁廠,臺南市歸仁區和順路二段220號
120.217311,23.096822,愷幸實業社,臺南市安定區海寮里海寮30之13號
120.289247,22.995733,永信塑膠皮實業社西埔二廠,臺南市歸仁區西埔里西埔三街51巷95號
120.351528,23.328429,易進機械工業有限公司工廠,臺南市後壁區福安里169之20號
120.213004,23.099876,添淑股份有限公司,臺南市安定區海寮里海寮174之1號
120.307079,23.091208,鏗特有限公司二廠,臺南市新市區大營里豐榮3之2號
120.380987,23.389358,通祥塑膠企業社,臺南市後壁區嘉田里上茄苳12之42、12之42附2、12之43號
120.288166,23.329644,承泉實業有限公司鹽水廠,臺南市鹽水區汫水里溪洲寮2之17號
120.239338,23.098842,宿泰有限公司安定廠,臺南市安定區港口里港口421號
120.294526,23.028746,鋼鑫工程有限公司,臺南市新化區全興里竹子腳187之6號
120.278803,22.977174,永正成工程行,臺南市歸仁區七甲里丁厝街29號
120.288959,23.065197,宏瑞制程工業股份有限公司台南廠,臺南市新市區永就里中山路261號
120.287634,23.073215,佳昌企業社社內廠,臺南市新市區社內里社內31之3號
120.274327,23.007688,首菖工業有限公司歸仁廠,臺南市歸仁區大廟里保大路3段366巷78弄1號
120.288867,23.006792,高靖工業有限公司歸仁廠,臺南市歸仁區西埔里西埔一街545巷8號
120.278704,22.983345,永昇行歸仁廠,臺南市歸仁區七甲里南丁路401號
120.276642,23.189117,櫻川坊麻豆廠,臺南市麻豆區寮?里寮子?190號
120.282777,22.992761,富鈜實業有限公司歸仁廠,臺南市歸仁區大廟里和順路2段58號
120.276301,23.006015,捷剛企業有限公司歸仁廠,臺南市歸仁區大廟里保吉路73巷31號
120.304945,23.022936,長熠林鋼鐵有限公司,臺南市新化區全興里竹子腳255號
120.212526,23.080366,榮進五金行安定廠,臺南市安定區中沙里中崙14之6號
120.270647,22.999652,新協億企業社永康廠,臺南市永康區東灣里民族路77巷86號
120.255403,23.005137,嘉明眼鏡實業社,臺南市永康區崑山里大灣路942巷271弄26號
120.232471,23.138413,台灣美王國際有限公司西港廠,臺南市西港區檨林里檨子林74之3號
120.183335,23.168676,祐旭有限公司佳里廠,臺南市佳里區六安里六安22之23號
120.28077,23.06682,成興企業工廠台南廠,臺南市新市區社內里社內143之90號
120.260217,22.976189,視廣實業社,臺南市仁德區一甲里忠義路138號
120.188014,22.925173,聯好企業有限公司工廠,臺南市南區同安里明興路1181巷124號
120.292552,22.978051,傑羚企業股份有限公司歸仁廠,臺南市歸仁區八甲里中正北路1段525巷17號
120.305575,23.02246,大川發鋼鐵行二廠,臺南市新化區全興里竹子腳258號
120.287768,23.010055,竑高企業有限公司歸仁廠,臺南市歸仁區西埔里西埔一街633巷77號
120.258019,23.126167,兆邑實業有限公司安定廠,臺南市安定區蘇林里蘇厝1之36號
120.297563,23.032717,大川發鋼鐵行大智廠,臺南市新化區豐榮里大智路186號
120.12772,23.077539,藝越企業股份有限公司台南二廠,臺南市安南區砂崙里城北路871巷87弄46號
120.235291,23.107422,益利實業社,臺南市安定區港尾里港子尾1之26號
120.191092,22.923575,億展鐵工所灣裡廠,臺南市南區同安里明興路1181巷198-1號
120.212573,23.177253,法寶實業有限公司台南廠,臺南市佳里區子龍里子良廟40之23號
120.263853,23.012491,書瑀企業有限公司永大廠,臺南市永康區西灣里文賢街488號
120.27833,22.992118,明珊科技有限公司二廠,臺南市歸仁區大廟里和順路2段207號
120.181439,23.036307,祈峰實業社,臺南市安南區海西里海環街281巷21號
120.205106,23.115338,煌田機電工作所,臺南市西港區西港里堀子頭85之8號
120.275941,22.991962,明珊科技有限公司三廠,臺南市歸仁區大廟里和順路2段289號
120.256834,23.006163,豐進模具廠永康廠,臺南市永康區崑山里大灣路942巷371弄3號
120.195595,23.117827,峰銘土木包工業一廠,臺南市西港區南海里大竹林63之18號
120.257397,22.938783,恒晟玻璃行仁德廠,臺南市仁德區上崙里上崙一街162號
120.251929,22.993554,順鴻工業有限公司永康廠,臺南市永康區崑山里崑大路155巷58弄101號B棟
120.331754,22.939501,衛全建材股份有限公司一廠,臺南市關廟區深坑里南雄路一段495巷33號
120.227768,23.059259,振旺企業社,臺南市安南區東和里長和路1段823巷137號
120.304181,23.063517,嘉隆商行一廠,臺南市新市區永就里46之26號
120.274863,22.975124,文發實業社歸仁廠,臺南市歸仁區七甲里南丁路73巷127號
120.189553,23.162012,天美手套針織廠,臺南市佳里區民安里同安寮45之21號
120.30254,22.955713,塑舜實業有限公司,臺南市歸仁區沙崙里二甲2號
120.226887,23.104979,川佳有限公司,臺南市安定區南安里油車6之28號
120.294972,23.054974,宏康鋼管股份有限公司新市廠,臺南市新市區永就里永就68之8號
120.278754,23.00812,汎鋼彈簧科技有限公司歸仁廠,臺南市歸仁區西埔里大埔路2段100號
120.234832,23.051697,三藝塑膠顏料有限公司工廠,臺南市安南區東和里長和路1段217巷25弄187號、189號
120.259524,22.977238,輿丞股份有限公司二廠,臺南市仁德區一甲里忠義一街28號
120.332601,22.966899,瑞昱城實業股份有限公司關廟廠,臺南市關廟區北勢里仁愛路330號
120.292591,23.000817,智冠企業社歸仁廠,臺南市歸仁區媽廟里保大路1段260巷90弄20號
120.279692,22.988372,新三益實業社工廠,臺南市歸仁區七甲里南潭三街32號
120.237099,23.169153,千野興業有限公司工廠,臺南市麻豆區安正里前班30號
120.296176,23.029426,翰達五金有限公司,臺南市新化區全興里竹子腳200之13號
120.269907,23.253856,梁鳴工業有限公司一廠,臺南市下營區甲中里中庄子46之15號
120.217123,22.926703,春羽實業社,臺南市仁德區二行里二仁路1段491巷163號
120.269938,23.254244,梁鳴工業有限公司二廠,臺南市下營區甲中里中庄子46之16號
120.2189,23.089867,亦鳴機械有限公司安定廠,臺南市安定區新吉里新吉19之15號
120.286278,23.302947,萬偉企業有限公司新營廠,臺南市新營區嘉芳里嘉芳街182號
120.231673,23.051086,映陞企業社長和廠,臺南市安南區東和里長和路一段217巷179弄16號
120.321343,22.960909,凱煜股份有限公司關廟廠,臺南市關廟區關廟里中山路二段211號
120.354251,22.91836,宏昇興企業有限公司,臺南市龍崎區楠坑里楠坑17號
120.194875,23.049211,升寶企業有限公司安南廠,臺南市安南區原佃里本原街1段167巷160弄49之5號
120.217648,23.079593,佑展科技有限公司工廠,臺南市安定區六嘉里六塊寮30之57號
120.124202,23.127178,佳德建材股份有限公司七股一廠,臺南市七股區溪南里溪南5之10號A棟
120.124202,23.127178,佳德建材股份有限公司七股二廠,臺南市七股區溪南里溪南5之10號B棟
120.221769,23.080941,提香食品有限公司,臺南市安定區六嘉里六塊寮41之3號
120.218449,23.091111,淳鈦工業有限公司安定廠,臺南市安定區新吉里新吉19之9號
120.20689,23.095026,鷹順塑膠機械股份有限公司,臺南市安定區海寮里海寮5之48號
120.273332,23.187802,復興鐵工所工廠,臺南市麻豆區南勢里南勢86之9號
120.206897,23.046161,玉明有限公司安南廠,臺南市安南區總頭里北安路3段299號
120.205727,23.064539,進益刀具企業社工廠,臺南市安南區布袋里長和路4段253巷47號
120.123895,23.095876,宏羽實業社,臺南市七股區永吉里永吉90號
120.231294,23.098976,大展企業社,臺南市安定區港尾里港子尾56之29號
120.336922,22.967479,弘麒工程行工廠,臺南市關廟區北勢里仁愛路608號
120.154687,23.189675,燁成實業有限公司,臺南市將軍區長榮里長榮179之26號
120.183395,23.068384,廣佶工業有限公司,臺南市安南區佃東里公學路3段353號、357號
120.212025,23.089438,佑峰實業股份有限公司一廠,臺南市安定區新吉里新吉19之12號
120.192226,23.159209,銘冠國際企業有限公司,臺南市佳里區民安里同安寮118之3號
120.398566,23.331882,維笙科技有限公司台南廠,臺南市東山區東山里278之18號
120.278439,23.133354,佳昌醬園工廠,臺南市善化區文正里陽明路57巷73號
120.28578,23.139887,金岳機械工程有限公司善化廠,臺南市善化區什乃里什乃180之2號
120.265798,22.978504,昇陽自行車國際股份有限公司仁德廠,臺南市仁德區一甲里義林路418號
120.226892,23.057223,奕凱企業股份有限公司安南廠,臺南市安南區東和里長和路一段823巷321號
120.303955,23.275597,定陽實業有限公司,臺南市柳營區八翁里中山西路三段333號
120.187246,22.979887,亞洲電熱企業社,臺南市南區金華里新孝路126巷19、21號1樓
120.191447,22.937163,新楷金屬股份有限公司台南廠,臺南市南區省躬里萬年路432號
120.29543,23.031403,旺昌實業股份有限公司新化廠,臺南市新化區豐榮里大智路278巷12號
120.221649,23.078193,永勤企業社安定廠,臺南市安定區六嘉里六塊寮81之4號
120.253924,23.007677,元氣工坊生機事業有限公司崑山廠,臺南市永康區崑山里大灣路942巷371弄78號
120.32326,23.263888,長輝工業有限公司長輝二廠,臺南市柳營區東昇里柳營700之50號
120.332514,22.966567,同富有限公司一廠,臺南市關廟區北勢里仁愛路328號
120.269,23.286431,合念厚股份有限公司新營廠,臺南市新營區太北里太子宮140之80號
120.194505,22.999227,春生雞肉,臺南市中西區藥王里民族路三段201號1樓、2樓
120.203794,23.065761,健成實業社一廠,臺南市安南區布袋里長和路4段319號
120.272412,22.996303,佳禾五金實業社永康廠,臺南市永康區東灣里民族路1巷70弄32號
120.193541,23.046316,浩展企業社安南廠,臺南市安南區原佃里怡安路二段516巷57號
120.151705,23.108868,詠欣機械股份有限公司,臺南市七股區義合里義合9之11號
120.276005,22.992238,奕誠精密有限公司歸仁廠,臺南市歸仁區大廟里和順路2段276號
120.280772,23.020358,盟興科技有限公司永康廠,臺南市永康區西勢里西勢路13巷2號
120.280759,22.999307,丞泰鋁業有限公司二廠,臺南市歸仁區大廟里大廟六街133號
120.311832,23.08884,尚聚企業股份有限公司二廠,臺南市新市區大社里大社595號
120.326786,22.946148,合正企業有限公司五甲廠,臺南市關廟區五甲里五甲路211巷58號
120.195781,23.163596,盟昌企業社佳里廠,臺南市佳里區民安里同安寮81之5號
120.266379,22.901872,剛毅機械有限公司仁德廠,臺南市仁德區中洲里中洲路501巷957號、501巷951號
120.182282,23.107959,顯昌眼鏡實業有限公司一廠,臺南市西港區新復里新港31之11號
120.332284,23.085514,騰達五金工廠股份有限公司新市廠,臺南市新市區潭頂里潭頂112之1號
120.176491,23.057583,瑞發模具有限公司分廠,臺南市安南區淵東里海佃路四段177號
120.197218,23.054226,瑞晟眼鏡實業有限公司工廠,臺南市安南區原佃里本原街一段250巷21號
120.13477,23.04812,金昶勝有限公司,臺南市安南區媽祖宮里顯宮一街37-358號
120.204286,23.062176,佳登企業有限公司,臺南市安南區布袋里工明路420之1號
120.185503,22.9508,信宏塑膠模具實業社,臺南市南區建南里明興路321巷11號
120.182479,23.053419,元豪塑膠股份有限公司台南廠,臺南市安南區溪心里智安四街98巷60號
120.301095,23.281523,原鐿鐵材行二廠,臺南市柳營區八翁里仁愛路407號
