uc_id,urban_code,case_code,case_type,細部計畫ID,case_name,gov_code,gov_date,is_publish,is_map
1,01,01,1,0101,核定南投鎮都市計畫案,投府建土字第55974號,045年11月23日,T,NULL
2,01,02,4,0102,南投鎮申請變更連接中興都市計畫道路線案,投府建土字第5974號,,T,NULL
3,01,03,2,0103,變更南投鎮三和新社區細部計畫案,投府建都字第16633號,059年03月21日,T,NULL
4,01,04,4,0104,變更南投鎮都市計劃「公一」北側部份土地為機關用地及十九號計劃道路為十公尺寬案,投府建都字第11846號,060年03月13日,T,NULL
5,01,05,4,0105,南投鎮都市計畫「政一」用地（原縣政府用地）變更為商業區案,投府建都字第16648號,060年03月17日,T,NULL
6,01,06,4,0106,南投鎮都市計畫原台糖火車站及鐵路用地變更案,投府建都字第91975號,060年11月26日,T,NULL
7,01,07,3,0107,南投鎮都市計畫（第一次通盤檢討）案,投府建都字第42577號,063年05月15日,T,NULL
8,01,08,3,0108,南投鎮都市計畫公共設施保留地通盤檢討案,投府建都字第100210號,064年10月15日,T,NULL
9,01,09,4,0109,南投鎮都市計畫配合三和新社區建設及縣議會遷建變更案,投府建都字第27333號,068年04月13日,T,NULL
10,01,10,2,0110,南投都市計畫茄苳腳地區細部計畫案,投府建都字第112479號,070年12月28日,T,1
11,01,11,4,0111,南投都市計畫變更部分工業區（原台鳳工廠）為住宅區,投府建都字第8253號,071年02月15日,T,NULL
12,01,12,4,0112,南投都市計畫變更部分學校用地（南投高中用地）為文化中心用地及部分學校用地及行政區為道路用地案,投府建都字第73371號,071年08月16日,T,NULL
13,01,13,4,0113,變更南投都市計畫（部分保護區、農業區、住宅區為行水區）案,府建都第128895號,075年12月30日,T,NULL
14,01,14,3,0114,變更南投都市計畫（第三次通盤檢討）案,投府建都字第112003號,077年10月19日,T,NULL
15,01,15,3,0115,變更南投都市計畫（第一期公共設施保留地專案通盤檢討）案,投府建都字第7126號,080年01月18日,T,NULL
16,01,16,4,0116,變更南投都市計畫（部分保護區為道路用地）案,投府建都字第19167號,082年02月27日,T,NULL
17,01,17,4,0117,變更南投都市計畫（部分住宅區及道路用地為體育場用地）案,投府建都字第863號,083年01月16日,T,NULL
18,01,18,4,0118,變更南投都市計畫（部分農業區、保護區為道路用地，部分行水區為行水區兼供道路使用（供高速公路使用）暨部分道路用地為道路用地兼供高速公路使用）案,投府建都字第49187號,085年04月15日,T,NULL
19,01,19,4,0119,變更南投都市計畫（「文中四」國中用地為國小用地）案,投府建都字第176193號,085年12月24日,T,
20,01,20,5,0120,訂定南投都市計畫土地使用分區管制要點案,投府建都字第35236號,086年03月13日,T,NULL
21,01,21,4,0121,變更南投都市計畫（部份農業區為行水區）案,投府建都字第38631號,087年03月18日,T,NULL
22,01,22,4,0122,變更南投都市計畫（部分行水區、保護區及綠地為機關用地、部分機關用地為機關用地、社教用地）案,投府建都字第89151842號,089年10月05日,T,
23,01,23,4,0123,變更南投都市計畫（部分農業區、保護區為污水處理場用地）案,府城都字第0920063408-2號,092年04月11日,T,
24,01,24,4,0124,變更南投都市計畫（部分商業區、「機六」機關用地（變更使用用途）為機關用地用）案,府城都字第0920168560-2號,092年09月24日,T,
25,01,25,6,0125,變更南投都市計畫（都市計畫圖重製檢討）案,府建都字第09400407632號,094年03月07日,T,
26,01,26,3,0126,變更南投都市計畫（第四次通盤檢討）案,府建都字第09401456631號,094年07月27日,T,
27,02,01,1,0201,核定南投（南崗地區）都市計畫案,投府建都字第91863號,069年10月18日,T,NULL
28,02,02,2,0202,南投（南崗地區）都市計畫半山地區細部計畫案,投府建都字第82202號,070年09月19日,T,1
29,02,03,3,0203,變更南投（南崗地區）都市計畫（第一次通盤檢討）案,投府建都字第128896號,075年12月24日,T,NULL
30,02,04,4,0204,變更南投（南崗地區）都市計畫（部分農業區、水溝用地為河川區道路用地兼堤防使用）案,投府建都字第36604號,083年03月16日,T,NULL
31,02,05,4,0205,變更南投（南崗地區）都市計畫（部分河川區為農業區、水溝用地，部分農業區為河川區）案,投府建都字第17650號,085年02月01日,T,NULL
32,02,06,4,0206,變更南投（南崗地區）都市計畫（部分農業區為道路用地，部分水溝用地為道路用地兼供水溝使用，部份行水區、河川區兼供道路使用（供高速公路使用）暨部分道路用地兼供高速公路使用）案,投府建都市第52986號,085年04月25日,T,NULL
33,02,07,4,0207,變更南投（南崗地區）都市計畫（部份農業區為社教用地）案,投府建都字第96215號,085年07月17日,T,NULL
34,02,08,5,0208,訂定南投（南崗地區）主要計畫土地使用分區管制要點案,投府建都字第35235號,086年03月13日,T,NULL
35,02,09,4,0209,變更南投（南崗地區）都市計畫（市場用地為機關用地）案,府城都字第09101203760號,091年07月23日,T,
36,02,10,3,0210,變更南投（南崗地區）主要計畫（工業區專案通盤檢討）案,府建都字第0920177145-2號,092年10月01日,T,
37,02,11,6,0211,變更南投（南崗地區）都市計畫（都市計畫圖重製檢討）案,府建都字第09402511301號,094年12月28日,T,
38,03,01,1,0301,核定中興新村都市計畫案,投府建土字第31505號,050年08月24日,T,NULL
39,03,02,4,0302,省府大門邊緣地變更為機關用地案,,,T,NULL
40,03,03,4,0303,中興新村內轆部分變更案,投府建土字第5290號,053年01月31日,T,NULL
41,03,04,4,0304,擴大中興新村都市計畫範圍設定內轆省訓團附近行政區（屬於南內轆地區部分）案,投府建土字第83784號,057年12月16日,T,NULL
42,03,05,4,0305,變更中興新村都市計畫案,,,T,NULL
43,03,06,1,0306,核定中興新村都市計畫變更案,投府建都字第66810號,065年08月25日,T,NULL
44,03,07,4,0307,變更中興新村都市計畫（部分農業區為住宅區、道路用地）案,投府建都字第8286號,071年02月09日,T,NULL
46,03,09,3,0309,變更中興新村（含南內轆地區）都市計畫（通盤檢討）案,投府建都字第24711號,073年03月20日,T,NULL
47,03,10,4,0310,變更中興新村都市計畫（部份停車場、機關、車站為道路）案,投府建都字第68764號,075年07月10日,T,NULL
48,03,11,4,0311,變更中興新村都市計畫（部分保護區為機關用地）案,投府建都字第4653號,077年01月24日,T,NULL
49,03,12,4,0312,變更中興新村都市計畫（部分機關為道路、人行步道　部分道路、人行步道為機關）案,投府建都字第43399號,077年05月05日,T,NULL
50,03,13,4,0313,變更中興新村（含南內轆地區）都市計畫（部分農業區、加油站為道路用地）案,投府建都字第115650號,081年10月14日,T,NULL
51,03,14,4,0314,變更中興新村（含南內轆地區）都市計畫（部分綠地、行水區為公園）案,投府建都字第58801號,082年05月27日,T,NULL
52,03,15,3,0315,變更中興新村（含南內轆地區）都市計畫（第一期公共設施保留地專案通盤檢討）案,府建四字第122574號,084年07月25日,T,NULL
53,03,16,4,0316,變更中興新村（含南內轆地區）都市計畫（部分綠地、機關用地為住宅區及修正土地使用分區管制要點第十四點）案,投府建都字第134697號,085年09月30日,T,NULL
54,03,17,3,0317,變更中興新村（含南內轆地區）都市計畫（第二次通盤檢討）案,,085年10月,F,NULL
55,03,18,5,0318,變更中興新村（含南內轆地區）都市計畫（土地使用分區管制要點第九點）案,投府建都字第49920號,086年04月15日,T,NULL
56,03,19,4,0319,變更中興新村（含南內轆地區）都市計畫（部份農業區為河川區）案,投府建都字第74601號,086年05月29日,T,NULL
57,03,20,4,0320,變更中興新村（含南內轆地區）都市計畫（部分住宅區為第二種住宅區）案,投府建都字第59682號,087年04月30日,T,NULL
58,03,21,2,0321,擬定中興新村（含南內轆地區）都市計畫（原「機十一」機關用地及部分「公二」公園用地變更為住宅區及保存區）細部計畫並配合變更主要計畫案,投府建都字第42747號,088年03月26日,T,1
59,03,22,2,0322,擬定中興新村（含南內轆地區）都市計畫（原「機十一」機關用地及部份「公二」公園用地變更為住宅區及保存區）細部計畫案,投府建都字第97870號,088年07月21日,T,1
60,03,23,4,0323,解除中興新村（含南內轆地區）都市計畫禁建範圍案,投府建都字第120136號,088年08月09日,T,NULL
61,03,24,4,0324,變更中興新村（含南內轆地區）都市計畫（部分住宅區為機關用地）案,府城都字第09101239100號,091年07月23日,T,
62,03,25,4,0325,變更中興新村（含南內轆地區）都市計畫（車籠埔斷層地區專案檢討）案,府城都字第09101424670號,091年08月21日,T,
63,03,26,5,0326,變更中興新村（含南內轆地區）都市計畫（原「機十一」機關用地及部分「公二」公園用地變更為住宅區及保存區）細部計畫（土地使用分區管制要點）案,府城都字第09200683912號,092年04月16日,T,
64,03,27,2,0327,變更中興新村（含南內轆地區）都市計畫（原「機十一」機關用地及部分「公二」公園用地變更為住宅區及保存區）細部計畫（部分住宅區為機關用地及部分公園用地為住宅區）案,府建都字第09400850841號,094年05月06日,T,NULL
65,03,28,2,0328,變更中興新村（含南內轆地區）都市計畫（原「機十一」機關用地及部分「公二」公園用地變更為住宅區及保存區）細部計畫（部分住宅區為保存區、部分住宅區為道路及部分鄰里公園、部分兒童遊樂場為住宅區）案,府建都字第09402003841號,094年10月12日,T,1
66,03,29,4,0329,變更中興新村（含南內轆地區）都市計畫（部分農業區為道路用地）案,府建都字第09600120821號,096年01月09日,T,
67,04,01,1,0401,核定埔里都市計畫案,,044年05月06日,T,NULL
68,04,02,4,0402,埔里都市計畫「公一」部份變更為電台用地案,投府建土字第10261號,057年01月23日,T,NULL
69,04,03,4,0403,埔里都市計畫設定學校保留地案,投府建土字第14831號,059年03月04日,T,NULL
70,04,04,3,0404,埔里都市計畫公共設施保留地通盤檢討案,投府建都字第8423號,065年02月13日,T,NULL
71,04,05,3,0405,變更埔里都市計畫（第一次通盤檢討）案,投府建都字第15139號,069年02月25日,T,NULL
72,04,06,3,0406,變更埔里都市計畫（第二次公共設施保留地通盤檢討）案,投府建都字第88380號,073年09月08日,T,NULL
73,04,07,3,0407,變更埔里主要計畫（第二次通盤檢討）案,投府建都字第112494號,075年11月15日,T,NULL
74,04,08,3,0408,變更埔里都市計畫（第一期公共設施保留地通盤檢討）案,投府建都字第10782號,078年10月13日,T,NULL
75,04,09,3,0409,變更埔里都市計畫（工業區分類專案通盤檢討）案,投府城都字第90097121號,090年07月09日,T,
76,04,10,4,0410,變更埔里都市計畫（「機二」機關用地（變更使用用途）、「停三」停車場用地、「公兒十三」兒童遊樂場用地兼作鄰里公園使用及道路用地為機關用地）案,府城都字第09101124910號,091年06月29日,T,
77,04,11,4,0411,變更埔里都市計畫（部分農業區、廣場兼停車場用地為污水處理廠用地）（配合九二一震災重建需要）案,府城都字第0920100341-2號,092年06月09日,T,NULL
79,04,13,3,0413,變更埔里都市計畫（都市計畫圖重製暨第三次通盤檢討）案,府建都字第09402008792號,094年10月17日,T,
80,05,01,1,0501,核定草屯都市計劃案,投府建土字第48869號,050年09月20日,T,NULL
81,05,02,4,0502,變更草屯部分農業區為「市八」保留地案,投府建土字第55885號,055年09月21日,T,NULL
82,05,03,4,0503,草屯「行三」機關用地變更為住宅區案,投府建土字第26027號,056年05月09日,T,NULL
83,05,04,4,0504,變更鐵路用地為住宅區、商業區、倉儲區、道路案,投府建土字第26455號,056年05月20日,T,NULL
84,05,05,4,0505,變更火車站部分鐵路用地為商業區案,投府建土字第82653號,057年02月07日,T,NULL
85,05,06,4,0506,變更倉庫用地為「市九」案,投府建都字第29554號,057年05月16日,T,NULL
86,05,07,4,0507,草屯中正路太平路變更為20公尺案,投府建土字第68450號,058年09月06日,T,NULL
87,05,08,4,0508,草屯第16、17號道路路線變更案,投府建土字第73957號,058年10月06日,T,NULL
88,05,09,2,0509,草屯都市計劃太平路東側細部計劃案,投府建都字第82725號,058年11月10日,T,1
89,05,10,4,0510,草屯文（十三）旭光國中設立案,投府建都字第38176號,059年06月10日,T,NULL
90,05,11,4,0511,草屯文（十四）高功國小設立及擴大文（九）南開工專案,投府建都字第38176號,059年06月10日,T,NULL
91,05,12,4,0512,草屯「綠一」變更案,投府建都字第84472號,060年11月04日,T,NULL
92,05,13,4,0513,變更草屯16、17號道路不符案,投府建都字第43506號,061年06月12日,T,NULL
93,05,14,4,0514,變更行一、行二為住宅區案,投府建都字第85038號,061年11月08日,T,NULL
94,05,15,4,0515,草屯20號道路用地變更案,投府建都字第51001號,061年07月10日,T,NULL
95,05,16,4,0516,草屯芬草路11號道路寬度變更案,投府建都字第49400號,061年07月10日,T,NULL
96,05,17,4,0517,草屯草鞋墩附近農業區變更為保存區案,投府建都字第24309號,062年04月13日,T,NULL
97,05,18,4,0518,變更部分「市一」為商業區案,投府建都字第12679號,063年03月14日,T,NULL
98,05,19,4,0519,13號道路與32號道路附近道路變更為商業區案,投府建都字第12679號,063年03月14日,T,NULL
99,05,20,4,0520,變更草屯部分「文五」為商業區案,投府建都字第12679號,063年03月14日,T,NULL
100,05,21,4,0521,草屯增設32-1號道路案,投府建都字第12679號,063年03月14日,T,NULL
101,05,22,4,0522,草屯都市計畫部分「文9」變更為輕工業案,投府建都字第48248號,063年05月31日,T,NULL
102,05,23,4,0523,草屯中山街明員街一帶住宅區變更為商業區案,投府建都字第51005號,063年06月15日,T,NULL
103,05,24,4,0524,草屯中山街19號路與明賢街18號路住宅區變為商業區案,投府建都字第51005號,063年06月15日,T,NULL
104,05,25,4,0525,草屯第18、19路變更案及第12號路側細部計畫案,投府建都字第69475號,063年08月26日,T,NULL
105,05,26,4,0526,草屯21號道路綠帶變更為住宅區案,投府建都字第42424號,064年06月11日,T,NULL
106,05,27,4,0527,草屯5號道路北側部分農業區為道路案,投府建都字第42424號,064年06月11日,T,NULL
107,05,28,4,0528,草屯太清宮側圓環廢止變更為住宅區案,投府建都字第42424號,064年06月11日,T,NULL
108,05,29,4,0529,草屯27號路綠帶變更為住宅區案,投府建都字第42424號,064年06月11日,T,NULL
109,05,30,4,0530,草屯公二（草商南側）部分變更為住宅區案,投府建都字第42424號,064年06月11日,T,NULL
110,05,31,4,0531,草屯線（23號道路東側）變更為住宅區案,投府建都字第42424號,064年06月11日,T,NULL
111,05,32,4,0532,綠七變更為住宅區案,投府建都字第42424號,064年06月11日,T,NULL
112,05,33,4,0533,市二變更為住宅區案,投府建都字第42424號,064年06月11日,T,NULL
113,05,34,4,0534,市九東南角路合併為市九案,投府建都字第42424號,064年06月11日,T,NULL
114,05,35,4,0535,草屯都市計畫公共設施保留地檢討變更案,投府建都字第42424號,064年06月11日,T,NULL
115,05,36,4,0536,「行五」變更為「文十三」及38號道路二側住宅區變更為商業區案,投府建都字第52899號,064年07月23日,T,NULL
116,05,37,4,0537,草屯「公三」公園保留地變更為住宅區及道路案,投府建都字第28450號,065年05月13日,T,NULL
117,05,38,4,0538,「公一」部分變更為「行六」案,投府建都字第106021號,066年12月02日,T,NULL
118,05,39,4,0539,變更草屯都市計劃部份農業區為工業區案,投府建都字第94148號,072年10月03日,F,NULL
119,05,40,4,0540,變更草屯都市計畫（部份農業區為道路用地）案,投府建都字第11312號,073年02月06日,T,NULL
120,05,41,3,0541,變更草屯都市計劃（第一次通盤通檢討）案,投府建都字第118589號,074年11月14日,T,NULL
122,05,43,2,0543,草屯都市計畫（上林里地區）細部計畫擬定案,投府建都字第45672號,075年05月20日,T,1
123,05,44,2,0544,擬定草屯都市計畫（和平里地區）細部計畫案,投府建都字第57366號,077年06月22日,T,1
124,05,45,2,0545,草屯（和平里）細部計畫公四變為住宅區案,投府建都字第57366號,077年06月21日,T,NULL
125,05,46,4,0546,變更草屯都市計畫（2號計劃道路北側及32號計劃道路東側部份農業區為工業區）案,投府建都字第115582號,077年11月14日,T,
126,05,47,2,0547,擬定草屯都市計畫（太平路西側地區）地區細部計畫案,投府建都字第116490號,077年11月11日,T,1
127,05,48,2,0548,擬定草屯都市計畫（頭前厝地區）地區細部計畫案,投府建都字第116487號,077年11月14日,T,1
128,05,49,2,0549,擬定草屯都市計畫（隘寮地區）地區細部計畫案,投府建都字第116488號,077年11月14日,T,1
129,05,50,2,0550,草屯（中庄仔地區）細部計畫並配合變更主要計畫案,投府建都字第116489號,077年11月11日,T,1
130,05,51,4,0551,變更草屯都市計畫（二號、三十二號計畫道路用地東側部分農工業區為工農業區）案,投府建都字第22243號,078年03月03日,F,NULL
131,05,52,2,0552,變更草屯都市計劃（部份農業區為住宅區）及擴大草屯（上林里地區）細部計劃配合主要計劃變更案,投府建都字第32811號,078年04月08日,T,1
132,05,53,3,0553,變更草屯都市計劃（第一期公共設施保留地）專案通盤檢討案,投府建都字第101262號,079年09月15日,T,NULL
133,05,54,4,0554,變更草屯都市計畫（部份農業區、住宅區為道路用地）及（部分農業區為自來水事業用地）案案,投府建都字第38673號,082年04月15日,T,
134,05,55,4,0555,變更草屯都市計劃（部份農業區為工業區、部份工業區為農業區）案,投府建都字第116550號,083年09月03日,T,NULL
135,05,56,4,0556,變更草屯都市計畫（部分農業區為道路用地）（供高速公路使用）案,投府建都字第169109號,084年11月30日,T,NULL
136,05,57,4,0557,變更草屯都市計畫（部份農業區為機關用地）案,投府建都字第13166號,086年01月21日,T,
137,05,58,4,0558,變更草屯都市計畫（部分工業區、農業區為道路用地）案,投府建都字第52276號,086年04月15日,T,
138,05,59,3,0559,變更草屯都市計畫「撤銷（第一期公共設施通盤檢討）案人民陳情案件逾十案決議之附帶條件」案,投府建都字第42714號,087年03月24日,T,
139,05,60,4,0560,變更草屯都市計畫（部分道路用地為機關用地、學校用地及部分學校用地、運動場用地、人行步道用地、公（兒）用地為道路用地）案,投府建都字第88134798號,088年10月08日,T,
140,05,61,3,0561,變更草屯都市計畫（工業區分類專案通盤檢討）案,投府建都字第79808號,089年06月07日,T,NULL
141,05,62,4,0562,變更草屯都市計畫（部分農業區為學校用地）案,投府城都字第90009392號,090年02月05日,T,
142,05,63,4,0563,變更草屯都市計畫（部分農業區為行政專用區、住宅區、鄰里公園兼兒童遊樂場用地、停車場用地、溝渠用地及道路用地、部分機關用地為公園用地）案,投府城都字第09101137760號,091年07月10日,T,
143,05,64,2,0564,擬定草屯都市計畫（配合行政園區遷移計畫、新社區及虎山溝整治開發計畫地區）細部計畫案,投府城都字第09101323200號,091年07月30日,T,1
144,05,65,4,0565,變更草屯都市計畫（部分住宅區為鄰里公園兼兒童遊樂場用地及道路用地、部分鄰里公園兼兒童遊樂場用地為住宅區及道路用地、部分道路用地為住宅區、鄰里公園兼兒童遊樂場用地及溝渠用地、部分溝渠用地為道路用地）案,府建都字第0930125810-2號,093年07月02日,T,NULL
145,05,66,2,0566,變更草屯都市計畫（配合行政園區遷移計畫、新社區及虎山溝整治開發計畫地區）細部計畫案,府建都字第0930231464-2號,093年12月13日,T,1
146,05,67,4,0567,變更草屯都市計畫（部分學校用地為機關用地及部分學校用地（特別管制區）為機關用地（特別管制區））（配合九二一震災災後重建）案,府建都字第09401070082號,094年06月06日,T,
